freq_hz,mag_db,phase_deg
1.037597656250000000e+01,-7.998299240870905180e+01,-1.700207336165843799e+02
1.040649414062500000e+01,-7.372204828700742496e+01,-1.203672743694312572e+02
1.043701171875000000e+01,-7.169752637358770642e+01,-1.492317210684794588e+02
1.046752929687500000e+01,-8.469712535859130753e+01,-8.061091921080902978e+01
1.049804687500000000e+01,-8.915348100121033781e+01,1.123599611216115051e+02
1.052856445312500000e+01,-9.157345628837612139e+01,-4.165211279007249345e+01
1.055908203125000000e+01,-9.240377031538852748e+01,-1.701956793254475713e+02
1.058959960937500000e+01,-8.887968475306371374e+01,5.939134280007390743e+01
1.062011718750000000e+01,-8.343357117972897186e+01,-1.203523928162691732e+02
1.065063476562500000e+01,-8.157489865040136579e+01,-9.750469810683465255e+01
1.068115234375000000e+01,-8.448396613287115997e+01,1.329651255666155407e+02
1.071166992187500000e+01,-8.114155470537114923e+01,9.538969393939188990e+01
1.074218750000000000e+01,-8.296827537044480039e+01,1.912356534177479617e+01
1.077270507812500000e+01,-7.273486141004256922e+01,-1.370787207119347215e+02
1.080322265625000000e+01,-8.768168204868931070e+01,2.305342579781404666e+01
1.083374023437500000e+01,-8.538824301074870959e+01,1.655995703527060527e+02
1.086425781250000000e+01,-7.758949043195929107e+01,-8.455824604540659095e+01
1.089477539062500000e+01,-8.502504101019775362e+01,-5.456437228781575044e+01
1.092529296875000000e+01,-7.990752499856279201e+01,-8.816811378509120800e+01
1.095581054687500000e+01,-8.510130873491617365e+01,1.357519205012029886e+02
1.098632812500000000e+01,-8.447833184739438650e+01,-2.884252884924185967e+00
1.101684570312500000e+01,-8.254224001162585012e+01,1.501555381902240072e+02
1.104736328125000000e+01,-7.835160310364227598e+01,-4.158631476546316463e+01
1.107788085937500000e+01,-7.322142675469621054e+01,-2.782707593589131889e+01
1.110839843750000000e+01,-8.026826033850795739e+01,1.613855374114280039e+02
1.113891601562500000e+01,-8.094453244908542899e+01,1.436220275169695810e+02
1.116943359375000000e+01,-8.653750544954873192e+01,-5.098106284835455426e+01
1.119995117187500000e+01,-8.588290354908876623e+01,1.172976344642213036e+02
1.123046875000000000e+01,-7.987166423990635167e+01,-3.864257284339526421e+01
1.126098632812500000e+01,-8.443753489025469605e+01,5.666596910604346959e+01
1.129150390625000000e+01,-8.580801841074918457e+01,-1.263974654286577817e+02
1.132202148437500000e+01,-8.042105640818010670e+01,6.678119088014285865e+01
1.135253906250000000e+01,-8.533264682331933670e+01,1.849894436098388084e+01
1.138305664062500000e+01,-8.081862770219464664e+01,-1.691284092170891427e+02
